station_id,timestamp,vehicle_count,hour,day_of_week
NSW-STN-001,2026-08-01 00:00:00,48,0,Saturday
NSW-STN-001,2026-08-01 01:00:00,64,1,Saturday
NSW-STN-001,2026-08-01 02:00:00,81,2,Saturday
NSW-STN-001,2026-08-01 03:00:00,71,3,Saturday
NSW-STN-001,2026-08-01 04:00:00,59,4,Saturday
NSW-STN-001,2026-08-01 05:00:00,51,5,Saturday
NSW-STN-001,2026-08-01 06:00:00,60,6,Saturday
NSW-STN-001,2026-08-01 07:00:00,276,7,Saturday
NSW-STN-001,2026-08-01 08:00:00,250,8,Saturday
NSW-STN-001,2026-08-01 09:00:00,245,9,Saturday
NSW-STN-001,2026-08-01 10:00:00,335,10,Saturday
NSW-STN-001,2026-08-01 11:00:00,397,11,Saturday
NSW-STN-001,2026-08-01 12:00:00,210,12,Saturday
NSW-STN-001,2026-08-01 13:00:00,421,13,Saturday
NSW-STN-001,2026-08-01 14:00:00,279,14,Saturday
NSW-STN-001,2026-08-01 15:00:00,273,15,Saturday
NSW-STN-001,2026-08-01 16:00:00,336,16,Saturday
NSW-STN-001,2026-08-01 17:00:00,327,17,Saturday
NSW-STN-001,2026-08-01 18:00:00,315,18,Saturday
NSW-STN-001,2026-08-01 19:00:00,330,19,Saturday
NSW-STN-001,2026-08-01 20:00:00,60,20,Saturday
NSW-STN-001,2026-08-01 21:00:00,55,21,Saturday
NSW-STN-001,2026-08-01 22:00:00,76,22,Saturday
NSW-STN-001,2026-08-01 23:00:00,54,23,Saturday
NSW-STN-001,2026-08-02 00:00:00,44,0,Sunday
NSW-STN-001,2026-08-02 01:00:00,63,1,Sunday
NSW-STN-001,2026-08-02 02:00:00,44,2,Sunday
NSW-STN-001,2026-08-02 03:00:00,51,3,Sunday
NSW-STN-001,2026-08-02 04:00:00,72,4,Sunday
NSW-STN-001,2026-08-02 05:00:00,48,5,Sunday
NSW-STN-001,2026-08-02 06:00:00,70,6,Sunday
NSW-STN-001,2026-08-02 07:00:00,295,7,Sunday
NSW-STN-001,2026-08-02 08:00:00,351,8,Sunday
NSW-STN-001,2026-08-02 09:00:00,290,9,Sunday
NSW-STN-001,2026-08-02 10:00:00,237,10,Sunday
NSW-STN-001,2026-08-02 11:00:00,324,11,Sunday
NSW-STN-001,2026-08-02 12:00:00,227,12,Sunday
NSW-STN-001,2026-08-02 13:00:00,221,13,Sunday
NSW-STN-001,2026-08-02 14:00:00,253,14,Sunday
NSW-STN-001,2026-08-02 15:00:00,269,15,Sunday
NSW-STN-001,2026-08-02 16:00:00,359,16,Sunday
NSW-STN-001,2026-08-02 17:00:00,330,17,Sunday
NSW-STN-001,2026-08-02 18:00:00,355,18,Sunday
NSW-STN-001,2026-08-02 19:00:00,313,19,Sunday
NSW-STN-001,2026-08-02 20:00:00,56,20,Sunday
NSW-STN-001,2026-08-02 21:00:00,76,21,Sunday
NSW-STN-001,2026-08-02 22:00:00,65,22,Sunday
NSW-STN-001,2026-08-02 23:00:00,59,23,Sunday
NSW-STN-001,2026-08-03 00:00:00,50,0,Monday
NSW-STN-001,2026-08-03 01:00:00,53,1,Monday
NSW-STN-001,2026-08-03 02:00:00,33,2,Monday
NSW-STN-001,2026-08-03 03:00:00,45,3,Monday
NSW-STN-001,2026-08-03 04:00:00,59,4,Monday
NSW-STN-001,2026-08-03 05:00:00,56,5,Monday
NSW-STN-001,2026-08-03 06:00:00,73,6,Monday
NSW-STN-001,2026-08-03 07:00:00,257,7,Monday
NSW-STN-001,2026-08-03 08:00:00,330,8,Monday
NSW-STN-001,2026-08-03 09:00:00,375,9,Monday
NSW-STN-001,2026-08-03 10:00:00,149,10,Monday
NSW-STN-001,2026-08-03 11:00:00,298,11,Monday
NSW-STN-001,2026-08-03 12:00:00,195,12,Monday
NSW-STN-001,2026-08-03 13:00:00,333,13,Monday
NSW-STN-001,2026-08-03 14:00:00,388,14,Monday
NSW-STN-001,2026-08-03 15:00:00,154,15,Monday
NSW-STN-001,2026-08-03 16:00:00,374,16,Monday
NSW-STN-001,2026-08-03 17:00:00,343,17,Monday
NSW-STN-001,2026-08-03 18:00:00,391,18,Monday
NSW-STN-001,2026-08-03 19:00:00,322,19,Monday
NSW-STN-001,2026-08-03 20:00:00,74,20,Monday
NSW-STN-001,2026-08-03 21:00:00,59,21,Monday
