station_id,timestamp,vehicle_count
NSW-STN-001,2026-08-01T00:00:00,48
NSW-STN-001,2026-08-01T01:00:00,64
NSW-STN-001,2026-08-01T02:00:00,81
NSW-STN-001,2026-08-01T03:00:00,71
NSW-STN-001,2026-08-01T04:00:00,59
NSW-STN-001,2026-08-01T05:00:00,51
NSW-STN-001,2026-08-01T06:00:00,60
NSW-STN-001,2026-08-01T07:00:00,276
NSW-STN-001,2026-08-01T08:00:00,250
NSW-STN-001,2026-08-01T09:00:00,245
NSW-STN-001,2026-08-01T10:00:00,335
NSW-STN-001,2026-08-01T11:00:00,397
NSW-STN-001,2026-08-01T12:00:00,210
NSW-STN-001,2026-08-01T13:00:00,421
NSW-STN-001,2026-08-01T14:00:00,279
NSW-STN-001,2026-08-01T15:00:00,273
NSW-STN-001,2026-08-01T16:00:00,336
NSW-STN-001,2026-08-01T17:00:00,327
NSW-STN-001,2026-08-01T18:00:00,315
NSW-STN-001,2026-08-01T19:00:00,330
NSW-STN-001,2026-08-01T20:00:00,60
NSW-STN-001,2026-08-01T21:00:00,55
NSW-STN-001,2026-08-01T22:00:00,76
NSW-STN-001,2026-08-01T23:00:00,54
NSW-STN-001,2026-08-02T00:00:00,44
NSW-STN-001,2026-08-02T01:00:00,63
NSW-STN-001,2026-08-02T02:00:00,44
NSW-STN-001,2026-08-02T03:00:00,51
NSW-STN-001,2026-08-02T04:00:00,72
NSW-STN-001,2026-08-02T05:00:00,48
NSW-STN-001,2026-08-02T06:00:00,70
NSW-STN-001,2026-08-02T07:00:00,295
NSW-STN-001,2026-08-02T08:00:00,351
NSW-STN-001,2026-08-02T09:00:00,290
NSW-STN-001,2026-08-02T10:00:00,237
NSW-STN-001,2026-08-02T11:00:00,324
NSW-STN-001,2026-08-02T12:00:00,227
NSW-STN-001,2026-08-02T13:00:00,221
NSW-STN-001,2026-08-02T14:00:00,253
NSW-STN-001,2026-08-02T15:00:00,269
NSW-STN-001,2026-08-02T16:00:00,359
NSW-STN-001,2026-08-02T17:00:00,330
NSW-STN-001,2026-08-02T18:00:00,355
NSW-STN-001,2026-08-02T19:00:00,313
NSW-STN-001,2026-08-02T20:00:00,56
NSW-STN-001,2026-08-02T21:00:00,76
NSW-STN-001,2026-08-02T22:00:00,65
NSW-STN-001,2026-08-02T23:00:00,59
NSW-STN-001,2026-08-03T00:00:00,50
NSW-STN-001,2026-08-03T01:00:00,53
NSW-STN-001,2026-08-03T02:00:00,33
NSW-STN-001,2026-08-03T03:00:00,45
NSW-STN-001,2026-08-03T04:00:00,59
NSW-STN-001,2026-08-03T05:00:00,56
NSW-STN-001,2026-08-03T06:00:00,73
NSW-STN-001,2026-08-03T07:00:00,257
NSW-STN-001,2026-08-03T08:00:00,330
NSW-STN-001,2026-08-03T09:00:00,375
NSW-STN-001,2026-08-03T10:00:00,149
